,game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
17629,21301029,0,1610612756,PHX,Phoenix,40,8,16,12,7,11,2.0,13.0,10.0,14.0,1610612765,DET,Detroit,48,16,10,5,0.0,19.0,16.0,15.0
17630,21301026,0,1610612751,BKN,Brooklyn,62,18,11,22,10,8,0.0,11.0,10.0,11.0,1610612738,BOS,Boston,30,12,9,3,0.0,11.0,7.0,15.0
17631,21301031,0,1610612747,LAL,Los Angeles,58,8,27,2,1,1,0.0,21.0,10.0,24.0,1610612764,WAS,Washington,40,16,29,21,1.0,20.0,10.0,23.0
17632,21301022,0,1610612741,CHI,Chicago,30,9,13,4,7,6,0.0,13.0,7.0,12.0,1610612754,IND,Indiana,32,14,7,18,0.0,16.0,10.0,20.0
17633,21301032,0,1610612757,POR,Portland,32,12,8,0,0,1,0.0,9.0,8.0,11.0,1610612766,CHA,Charlotte,54,18,11,34,0.0,5.0,7.0,9.0
17634,21301038,0,1610612744,GSW,Golden State,40,9,8,1,4,1,0.0,18.0,5.0,27.0,1610612759,SAS,San Antonio,40,13,13,15,3.0,14.0,11.0,13.0
17635,21301036,0,1610612740,NOP,New Orleans,52,13,21,16,5,6,3.0,9.0,6.0,11.0,1610612748,MIA,Miami,46,8,11,8,1.0,16.0,9.0,19.0
17636,21301034,0,1610612755,PHI,Philadelphia,40,22,6,6,1,3,1.0,11.0,5.0,15.0,1610612741,CHI,Chicago,26,9,13,12,0.0,15.0,8.0,17.0
17637,21301033,0,1610612745,HOU,Houston,42,5,18,29,0,0,0.0,13.0,6.0,15.0,1610612739,CLE,Cleveland,56,11,2,0,2.0,18.0,9.0,22.0
17638,21301035,0,1610612763,MEM,Memphis,46,8,18,15,2,0,0.0,12.0,9.0,6.0,1610612754,IND,Indiana,24,9,7,1,1.0,11.0,7.0,6.0
17639,21301043,0,1610612758,SAC,Sacramento,50,24,11,40,0,0,2.0,12.0,9.0,15.0,1610612749,MIL,Milwaukee,48,15,18,0,1.0,13.0,10.0,18.0
17640,21301046,0,1610612753,ORL,Orlando,48,16,6,1,2,0,2.0,20.0,6.0,21.0,1610612747,LAL,Los Angeles,46,15,10,15,0.0,14.0,11.0,23.0
17641,21301042,0,1610612743,DEN,Denver,46,8,15,7,9,14,0.0,15.0,7.0,13.0,1610612764,WAS,Washington,42,6,9,14,0.0,24.0,11.0,30.0
17642,21301044,0,1610612751,BKN,Brooklyn,38,15,14,8,7,4,1.0,14.0,11.0,16.0,1610612742,DAL,Dallas,40,21,10,14,1.0,14.0,8.0,17.0
17643,21301045,0,1610612752,NYK,New York,24,5,6,17,5,2,1.0,13.0,4.0,20.0,1610612739,CLE,Cleveland,40,4,4,6,0.0,13.0,3.0,20.0
17644,21301041,0,1610612756,PHX,Phoenix,50,16,22,7,12,7,0.0,19.0,11.0,32.0,1610612750,MIN,Minnesota,50,21,11,22,0.0,12.0,5.0,18.0
17645,21301052,0,1610612740,NOP,New Orleans,56,21,21,7,3,6,1.0,16.0,9.0,20.0,1610612751,BKN,Brooklyn,34,19,9,22,0.0,11.0,5.0,14.0
17646,21301056,0,1610612749,MIL,Milwaukee,54,16,7,0,0,0,0.0,10.0,4.0,22.0,1610612746,LAC,Los Angeles,40,10,22,15,0.0,13.0,12.0,12.0
17647,21301048,0,1610612756,PHX,Phoenix,36,2,21,12,4,6,1.0,19.0,4.0,26.0,1610612737,ATL,Atlanta,36,10,8,8,0.0,17.0,11.0,22.0
17648,21301055,0,1610612765,DET,Detroit,54,24,10,25,0,3,0.0,13.0,5.0,6.0,1610612762,UTA,Utah,44,18,11,0,0.0,7.0,9.0,14.0
17649,21301051,0,1610612750,MIN,Minnesota,42,17,20,0,0,1,0.0,10.0,7.0,15.0,1610612763,MEM,Memphis,66,11,19,25,0.0,14.0,5.0,16.0
17650,21301053,0,1610612760,OKC,Oklahoma City,44,18,14,22,4,5,0.0,14.0,11.0,13.0,1610612743,DEN,Denver,36,12,10,3,1.0,21.0,16.0,18.0
17651,21301049,0,1610612748,MIA,Miami,52,7,12,17,10,4,1.0,10.0,8.0,11.0,1610612757,POR,Portland,26,10,9,6,0.0,15.0,5.0,21.0
17652,21301050,0,1610612754,IND,Indiana,30,9,6,7,7,5,1.0,16.0,4.0,14.0,1610612741,CHI,Chicago,20,11,11,14,0.0,10.0,6.0,8.0
17653,21301047,0,1610612745,HOU,Houston,50,12,21,13,11,4,0.0,12.0,10.0,10.0,1610612766,CHA,Charlotte,38,18,4,3,1.0,10.0,19.0,12.0
17654,21301057,0,1610612761,TOR,Toronto,38,22,5,1,6,0,0.0,7.0,10.0,6.0,1610612739,CLE,Cleveland,44,10,12,21,1.0,15.0,7.0,16.0
17655,21301058,0,1610612757,POR,Portland,44,19,13,6,4,2,0.0,15.0,3.0,14.0,1610612753,ORL,Orlando,46,18,12,19,1.0,14.0,9.0,14.0
17656,21301059,0,1610612760,OKC,Oklahoma City,52,17,29,9,16,10,0.0,21.0,4.0,19.0,1610612742,DAL,Dallas,42,19,8,10,0.0,20.0,11.0,23.0
17657,21301060,0,1610612747,LAL,Los Angeles,40,15,8,33,1,0,1.0,17.0,5.0,13.0,1610612752,NYK,New York,38,13,9,8,1.0,16.0,7.0,22.0
17658,21301070,0,1610612763,MEM,Memphis,44,8,6,5,7,4,0.0,10.0,3.0,10.0,1610612762,UTA,Utah,38,12,12,16,1.0,13.0,10.0,16.0
17659,21301069,0,1610612758,SAC,Sacramento,28,12,2,5,3,10,1.0,11.0,9.0,15.0,1610612752,NYK,New York,22,18,18,24,0.0,14.0,3.0,17.0
17660,21301063,0,1610612738,BOS,Boston,28,7,15,5,7,3,1.0,10.0,6.0,14.0,1610612761,TOR,Toronto,40,14,10,15,1.0,17.0,8.0,20.0
17661,21301066,0,1610612740,NOP,New Orleans,56,19,15,8,16,12,2.0,13.0,11.0,14.0,1610612746,LAC,Los Angeles,28,15,15,6,1.0,13.0,12.0,11.0
17662,21301065,0,1610612750,MIN,Minnesota,42,9,26,28,4,2,0.0,19.0,5.0,17.0,1610612737,ATL,Atlanta,28,12,13,5,1.0,26.0,10.0,32.0
17663,21301068,0,1610612759,SAS,San Antonio,46,10,9,24,3,1,0.0,21.0,10.0,27.0,1610612743,DEN,Denver,46,12,24,2,0.0,18.0,5.0,14.0
17664,21301067,0,1610612748,MIA,Miami,30,4,12,7,15,7,1.0,19.0,11.0,26.0,1610612754,IND,Indiana,30,13,2,10,2.0,12.0,11.0,12.0
17665,21301061,0,1610612751,BKN,Brooklyn,30,3,2,6,19,12,0.0,9.0,8.0,9.0,1610612766,CHA,Charlotte,42,16,6,9,1.0,9.0,9.0,9.0
17666,21301062,0,1610612764,WAS,Washington,52,13,25,5,10,6,1.0,15.0,12.0,16.0,1610612756,PHX,Phoenix,34,12,7,25,0.0,19.0,5.0,21.0
17667,21301072,0,1610612755,PHI,Philadelphia,36,18,15,2,1,1,1.0,22.0,13.0,26.0,1610612745,HOU,Houston,62,24,34,27,0.0,20.0,11.0,17.0
17668,21301074,0,1610612742,DAL,Dallas,40,11,12,12,13,7,1.0,18.0,9.0,24.0,1610612746,LAC,Los Angeles,50,18,26,7,1.0,20.0,4.0,26.0
17669,21301073,0,1610612747,LAL,Los Angeles,52,23,11,9,2,4,0.0,20.0,6.0,20.0,1610612749,MIL,Milwaukee,48,12,17,12,1.0,19.0,11.0,17.0
17670,21301071,0,1610612757,POR,Portland,34,14,6,16,4,4,0.0,13.0,6.0,19.0,1610612737,ATL,Atlanta,40,11,14,3,3.0,13.0,10.0,15.0
17671,21301077,0,1610612754,IND,Indiana,40,18,14,0,0,1,0.0,17.0,11.0,21.0,1610612764,WAS,Washington,42,12,18,21,2.0,10.0,8.0,13.0
17672,21301078,0,1610612751,BKN,Brooklyn,32,4,4,18,0,1,1.0,18.0,5.0,20.0,1610612739,CLE,Cleveland,38,14,13,0,0.0,12.0,9.0,17.0
17673,21301082,0,1610612762,UTA,Utah,44,10,14,5,9,7,1.0,19.0,11.0,33.0,1610612740,NOP,New Orleans,40,5,17,9,1.0,14.0,4.0,10.0
17674,21301080,0,1610612757,POR,Portland,32,11,11,24,7,2,1.0,10.0,5.0,7.0,1610612741,CHI,Chicago,34,9,13,4,1.0,13.0,5.0,9.0
17675,21301085,0,1610612752,NYK,New York,24,21,8,5,2,4,2.0,13.0,10.0,25.0,1610612756,PHX,Phoenix,46,32,26,32,1.0,13.0,8.0,16.0
17676,21301079,0,1610612765,DET,Detroit,42,7,11,3,2,6,0.0,11.0,4.0,16.0,1610612748,MIA,Miami,46,14,12,35,1.0,9.0,10.0,10.0
17677,21301075,0,1610612766,CHA,Charlotte,50,14,4,16,5,6,0.0,10.0,10.0,13.0,1610612753,ORL,Orlando,48,20,4,5,2.0,19.0,11.0,19.0
17678,21301076,0,1610612761,TOR,Toronto,52,15,14,14,9,8,1.0,11.0,7.0,14.0,1610612738,BOS,Boston,46,11,11,7,0.0,16.0,10.0,21.0
17679,21301083,0,1610612760,OKC,Oklahoma City,38,1,18,32,0,2,0.0,14.0,8.0,7.0,1610612758,SAC,Sacramento,30,16,6,0,1.0,17.0,7.0,19.0
17680,21301089,0,1610612764,WAS,Washington,48,8,10,10,5,7,0.0,13.0,6.0,21.0,1610612737,ATL,Atlanta,40,10,9,10,2.0,14.0,12.0,21.0
17681,21301088,0,1610612746,LAC,Los Angeles,40,10,9,13,7,12,0.0,9.0,16.0,12.0,1610612745,HOU,Houston,46,6,17,15,0.0,19.0,9.0,20.0
17682,21301091,0,1610612748,MIA,Miami,38,17,10,21,1,1,2.0,13.0,8.0,10.0,1610612749,MIL,Milwaukee,40,14,13,2,3.0,17.0,12.0,16.0
17683,21301087,0,1610612755,PHI,Philadelphia,60,23,29,32,3,3,0.0,14.0,6.0,19.0,1610612765,DET,Detroit,46,19,24,2,0.0,18.0,10.0,25.0
17684,21301090,0,1610612742,DAL,Dallas,38,4,20,17,2,4,1.0,13.0,3.0,13.0,1610612758,SAC,Sacramento,60,23,15,5,2.0,20.0,3.0,25.0
17685,21301092,0,1610612759,SAS,San Antonio,48,14,18,22,1,0,0.0,13.0,5.0,8.0,1610612740,NOP,New Orleans,36,5,8,2,3.0,14.0,8.0,16.0
17686,21301095,0,1610612750,MIN,Minnesota,56,14,23,6,7,5,0.0,20.0,10.0,23.0,1610612751,BKN,Brooklyn,56,10,19,17,0.0,20.0,7.0,23.0
17687,21301097,0,1610612738,BOS,Boston,34,11,12,3,16,19,1.0,16.0,8.0,19.0,1610612741,CHI,Chicago,40,10,10,7,1.0,16.0,12.0,20.0
17688,21301096,0,1610612753,ORL,Orlando,42,9,13,3,8,6,1.0,19.0,6.0,19.0,1610612761,TOR,Toronto,38,18,2,21,1.0,15.0,7.0,18.0
17689,21301099,0,1610612757,POR,Portland,36,7,9,21,8,7,0.0,13.0,5.0,12.0,1610612763,MEM,Memphis,44,21,6,4,1.0,11.0,9.0,11.0
17690,21301098,0,1610612752,NYK,New York,34,12,11,12,2,4,2.0,11.0,10.0,18.0,1610612744,GSW,Golden State,24,16,7,12,2.0,12.0,9.0,14.0
17691,21301094,0,1610612754,IND,Indiana,38,10,4,2,2,0,1.0,16.0,9.0,22.0,1610612739,CLE,Cleveland,28,5,11,21,0.0,15.0,6.0,8.0
17692,21301100,0,1610612756,PHX,Phoenix,44,9,17,2,4,3,1.0,14.0,9.0,18.0,1610612747,LAL,Los Angeles,56,4,22,26,1.0,14.0,5.0,12.0
